cell,dataset,lmax,recon_o,recon_p,recon_e,held_o,held_p,held_e,recon_R,recon_G,recon_B,held_R,held_G,held_B,epochs,secs,params
gauss+ang,cmb,,38.70,38.47,38.69,32.13,34.02,30.64,,,,,,,500,1063,264K
gauss+ang,era5,,43.99,42.47,46.29,37.10,38.76,35.07,,,,,,,500,1025,264K
gauss+ang,etopo1,,34.81,36.34,33.06,28.44,31.82,26.54,,,,,,,500,1041,264K
gauss+ang,hdri_sky,,37.38,37.58,36.60,33.42,34.65,31.45,36.34,38.35,37.68,32.04,33.83,34.85,500,1022,264K
gauss+ang,hdri_urban,,27.23,33.98,23.29,23.05,31.59,18.84,27.31,27.88,26.60,23.14,23.50,22.55,500,1019,264K
gauss+cart,cmb,,42.27,43.68,41.77,31.39,32.19,30.60,,,,,,,500,1051,264K
gauss+cart,era5,,45.56,47.52,45.26,36.27,36.48,35.36,,,,,,,500,1058,264K
gauss+cart,etopo1,,39.77,40.89,39.44,28.32,30.79,26.87,,,,,,,500,1060,264K
gauss+cart,hdri_sky,,39.23,41.25,37.81,34.84,35.24,34.10,38.65,40.81,38.57,33.76,35.37,35.65,500,1067,264K
gauss+cart,hdri_urban,,30.99,37.14,27.54,23.68,30.93,19.68,30.75,31.47,30.78,23.67,24.15,23.25,500,1072,264K
gauss+fkan,cmb,,29.78,30.04,29.57,27.46,27.61,27.26,,,,,,,160,356,313K
gauss+fkan,era5,,42.09,43.23,41.79,29.90,29.94,29.23,,,,,,,500,1072,313K
gauss+fkan,etopo1,,38.34,39.06,38.03,24.98,27.33,23.61,,,,,,,500,1027,313K
gauss+fkan,hdri_sky,,33.50,36.32,31.88,27.50,29.66,25.83,33.12,36.24,32.10,26.59,28.60,27.54,500,1065,313K
gauss+fkan,hdri_urban,,31.12,36.07,28.26,22.52,29.50,18.65,30.95,32.06,30.49,22.36,23.12,22.14,500,1071,313K
gauss+rff,cmb,,30.40,30.50,30.24,26.85,26.94,26.69,,,,,,,160,360,280K
gauss+rff,era5,,8.83,5.82,10.01,8.74,5.67,9.96,,,,,,,120,276,280K
gauss+rff,etopo1,,11.24,10.66,11.59,11.13,10.50,11.51,,,,,,,120,275,280K
gauss+rff,hdri_sky,,9.26,9.14,10.47,9.23,9.09,10.43,9.37,9.35,9.07,9.34,9.30,9.05,140,322,280K
gauss+rff,hdri_urban,,10.53,13.86,7.35,10.51,13.79,7.35,9.91,10.48,11.34,9.88,10.44,11.32,160,362,280K
gauss+sh,cmb,32,30.18,28.56,31.71,27.31,27.44,27.13,,,,,,,140,396,542K
gauss+sh,cmb,16,30.84,30.37,31.16,26.85,26.99,26.67,,,,,,,140,336,337K
gauss+sh,era5,32,52.65,50.14,57.46,27.43,27.40,27.15,,,,,,,500,1347,542K
gauss+sh,era5,13,42.26,42.50,43.63,28.09,29.21,27.12,,,,,,,500,1128,313K
gauss+sh,etopo1,32,49.13,47.89,50.60,26.58,28.64,25.26,,,,,,,500,1339,542K
gauss+sh,etopo1,16,42.10,42.03,42.35,25.97,27.65,24.82,,,,,,,500,1151,337K
gauss+sh,hdri_sky,32,38.74,38.78,38.66,25.06,26.33,23.72,38.45,40.72,37.61,24.39,26.99,24.30,500,1362,542K
